Model,Accuracy,Precision,Recall,F1-Score,Cohen Kappa,MCC,Training Time (s),Training Time (min),Score_per_minute
MLP_Medium,0.8391608391608392,0.8391724323421936,0.8391608391608392,0.8344393607358359,0.792124889394514,0.7946978515859933,1.0929348468780518,0.018215580781300863,45.80909995427796
MLP_HighDropout,0.8181818181818182,0.8211728451010604,0.8181818181818182,0.8126124070180013,0.7640713243226093,0.7675202717545574,0.9608848094940186,0.016014746824900308,50.74150818010573
MLP_Small,0.8111888111888111,0.8170017837949527,0.8111888111888111,0.8073412349211072,0.7539510578638796,0.7583964822929912,1.3349249362945557,0.022248748938242593,36.28703965162718
MLP_Large,0.7832167832167832,0.7923134557749942,0.7832167832167832,0.781154873840774,0.7198913180841653,0.7216680618427033,1.1329848766326904,0.018883081277211507,41.36797709934596
